Sourced from https://pomax.github.io/bezierinfo/legendre-gauss.html
n = 1
1 2.0000000000000000  0.0000000000000000
n = 2
1	1.0000000000000000	-0.5773502691896257
2	1.0000000000000000	0.5773502691896257
n = 3
1	0.8888888888888888	0.0000000000000000
2	0.5555555555555556	-0.7745966692414834
3	0.5555555555555556	0.7745966692414834
n = 4
1	0.6521451548625461	-0.3399810435848563
2	0.6521451548625461	0.3399810435848563
3	0.3478548451374538	-0.8611363115940526
4	0.3478548451374538	0.8611363115940526
n = 5
1	0.5688888888888889	0.0000000000000000
2	0.4786286704993665	-0.5384693101056831
3	0.4786286704993665	0.5384693101056831
4	0.2369268850561891	-0.9061798459386640
5	0.2369268850561891	0.9061798459386640
n = 6
1	0.3607615730481386	0.6612093864662645
2	0.3607615730481386	-0.6612093864662645
3	0.4679139345726910	-0.2386191860831969
4	0.4679139345726910	0.2386191860831969
5	0.1713244923791704	-0.9324695142031521
6	0.1713244923791704	0.9324695142031521
n = 7
1	0.4179591836734694	0.0000000000000000
2	0.3818300505051189	0.4058451513773972
3	0.3818300505051189	-0.4058451513773972
4	0.2797053914892766	-0.7415311855993945
5	0.2797053914892766	0.7415311855993945
6	0.1294849661688697	-0.9491079123427585
7	0.1294849661688697	0.9491079123427585
n = 8
1	0.3626837833783620	-0.1834346424956498
2	0.3626837833783620	0.1834346424956498
3	0.3137066458778873	-0.5255324099163290
4	0.3137066458778873	0.5255324099163290
5	0.2223810344533745	-0.7966664774136267
6	0.2223810344533745	0.7966664774136267
7	0.1012285362903763	-0.9602898564975363
8	0.1012285362903763	0.9602898564975363
n = 9
1	0.3302393550012598	0.0000000000000000
2	0.1806481606948574	-0.8360311073266358
3	0.1806481606948574	0.8360311073266358
4	0.0812743883615744	-0.9681602395076261
5	0.0812743883615744	0.9681602395076261
6	0.3123470770400029	-0.3242534234038089
7	0.3123470770400029	0.3242534234038089
8	0.2606106964029354	-0.6133714327005904
9	0.2606106964029354	0.6133714327005904
n = 10
1	0.2955242247147529	-0.1488743389816312
2	0.2955242247147529	0.1488743389816312
3	0.2692667193099963	-0.4333953941292472
4	0.2692667193099963	0.4333953941292472
5	0.2190863625159820	-0.6794095682990244
6	0.2190863625159820	0.6794095682990244
7	0.1494513491505806	-0.8650633666889845
8	0.1494513491505806	0.8650633666889845
9	0.0666713443086881	-0.9739065285171717
10	0.0666713443086881	0.9739065285171717
n = 11
1	0.2729250867779006	0.0000000000000000
2	0.2628045445102467	-0.2695431559523450
3	0.2628045445102467	0.2695431559523450
4	0.2331937645919905	-0.5190961292068118
5	0.2331937645919905	0.5190961292068118
6	0.1862902109277343	-0.7301520055740494
7	0.1862902109277343	0.7301520055740494
8	0.1255803694649046	-0.8870625997680953
9	0.1255803694649046	0.8870625997680953
10	0.0556685671161737	-0.9782286581460570
11	0.0556685671161737	0.9782286581460570
n = 12
1	0.2491470458134028	-0.1252334085114689
2	0.2491470458134028	0.1252334085114689
3	0.2334925365383548	-0.3678314989981802
4	0.2334925365383548	0.3678314989981802
5	0.2031674267230659	-0.5873179542866175
6	0.2031674267230659	0.5873179542866175
7	0.1600783285433462	-0.7699026741943047
8	0.1600783285433462	0.7699026741943047
9	0.1069393259953184	-0.9041172563704749
10	0.1069393259953184	0.9041172563704749
11	0.0471753363865118	-0.9815606342467192
12	0.0471753363865118	0.9815606342467192
n = 13
1	0.2325515532308739	0.0000000000000000
2	0.2262831802628972	-0.2304583159551348
3	0.2262831802628972	0.2304583159551348
4	0.2078160475368885	-0.4484927510364469
5	0.2078160475368885	0.4484927510364469
6	0.1781459807619457	-0.6423493394403402
7	0.1781459807619457	0.6423493394403402
8	0.1388735102197872	-0.8015780907333099
9	0.1388735102197872	0.8015780907333099
10	0.0921214998377285	-0.9175983992229779
11	0.0921214998377285	0.9175983992229779
12	0.0404840047653159	-0.9841830547185881
13	0.0404840047653159	0.9841830547185881
n = 14
1	0.2152638534631578	-0.1080549487073437
2	0.2152638534631578	0.1080549487073437
3	0.2051984637212956	-0.3191123689278897
4	0.2051984637212956	0.3191123689278897
5	0.1855383974779378	-0.5152486363581541
6	0.1855383974779378	0.5152486363581541
7	0.1572031671581935	-0.6872929048116855
8	0.1572031671581935	0.6872929048116855
9	0.1215185706879032	-0.8272013150697650
10	0.1215185706879032	0.8272013150697650
11	0.0801580871597602	-0.9284348836635735
12	0.0801580871597602	0.9284348836635735
13	0.0351194603317519	-0.9862838086968123
14	0.0351194603317519	0.9862838086968123
n = 15
1	0.2025782419255613	0.0000000000000000
2	0.1984314853271116	-0.2011940939974345
3	0.1984314853271116	0.2011940939974345
4	0.1861610000155622	-0.3941513470775634
5	0.1861610000155622	0.3941513470775634
6	0.1662692058169939	-0.5709721726085388
7	0.1662692058169939	0.5709721726085388
8	0.1395706779261543	-0.7244177313601701
9	0.1395706779261543	0.7244177313601701
10	0.1071592204671719	-0.8482065834104272
11	0.1071592204671719	0.8482065834104272
12	0.0703660474881081	-0.9372733924007060
13	0.0703660474881081	0.9372733924007060
14	0.0307532419961173	-0.9879925180204854
15	0.0307532419961173	0.9879925180204854
n = 16
1	0.1894506104550685	-0.0950125098376374
2	0.1894506104550685	0.0950125098376374
3	0.1826034150449236	-0.2816035507792589
4	0.1826034150449236	0.2816035507792589
5	0.1691565193950025	-0.4580167776572274
6	0.1691565193950025	0.4580167776572274
7	0.1495959888165767	-0.6178762444026438
8	0.1495959888165767	0.6178762444026438
9	0.1246289712555339	-0.7554044083550030
10	0.1246289712555339	0.7554044083550030
11	0.0951585116824928	-0.8656312023878318
12	0.0951585116824928	0.8656312023878318
13	0.0622535239386479	-0.9445750230732326
14	0.0622535239386479	0.9445750230732326
15	0.0271524594117541	-0.9894009349916499
16	0.0271524594117541	0.9894009349916499
n = 17
1	0.1794464703562065	0.0000000000000000
2	0.1765627053669926	-0.1784841814958479
3	0.1765627053669926	0.1784841814958479
4	0.1680041021564500	-0.3512317634538763
5	0.1680041021564500	0.3512317634538763
6	0.1540457610768103	-0.5126905370864769
7	0.1540457610768103	0.5126905370864769
8	0.1351363684685255	-0.6576711592166907
9	0.1351363684685255	0.6576711592166907
10	0.1118838471934040	-0.7815140038968014
11	0.1118838471934040	0.7815140038968014
12	0.0850361483171792	-0.8802391537269859
13	0.0850361483171792	0.8802391537269859
14	0.0554595293739872	-0.9506755217687678
15	0.0554595293739872	0.9506755217687678
16	0.0241483028685479	-0.9905754753144174
17	0.0241483028685479	0.9905754753144174
n = 18
1	0.1691423829631436	-0.0847750130417353
2	0.1691423829631436	0.0847750130417353
3	0.1642764837458327	-0.2518862256915055
4	0.1642764837458327	0.2518862256915055
5	0.1546846751262652	-0.4117511614628426
6	0.1546846751262652	0.4117511614628426
7	0.1406429146706507	-0.5597708310739475
8	0.1406429146706507	0.5597708310739475
9	0.1225552067114785	-0.6916870430603532
10	0.1225552067114785	0.6916870430603532
11	0.1009420441062872	-0.8037049589725231
12	0.1009420441062872	0.8037049589725231
13	0.0764257302548891	-0.8926024664975557
